.HEADER
..NAMES
Time,V U1.R21&P21
.DATA
3.27420e-008,1.2521
3.27760e-008,1.2375
3.28100e-008,1.2268
3.28440e-008,1.2166
3.28780e-008,1.2105
3.29120e-008,1.2112
3.29460e-008,1.2160
3.29800e-008,1.2292
3.30140e-008,1.2527
3.30480e-008,1.2746
3.30820e-008,1.2937
3.31160e-008,1.3101
3.31500e-008,1.3190
3.31840e-008,1.3223
3.32180e-008,1.2935
3.32520e-008,1.1597
3.32860e-008,0.9827
3.33200e-008,0.8159
3.33540e-008,0.6560
3.33880e-008,0.5141
3.34220e-008,0.3824
3.34560e-008,0.2755
3.34900e-008,0.2175
3.35240e-008,0.2048
3.35580e-008,0.1934
3.35920e-008,0.1858
3.36260e-008,0.1801
3.36600e-008,0.1905
3.36940e-008,0.1932
3.37280e-008,0.1817
3.37620e-008,0.1640
3.37960e-008,0.1571
3.38300e-008,0.1406
3.38640e-008,0.1084
3.38980e-008,0.0760
3.39320e-008,0.0566
3.39660e-008,0.0541
3.40000e-008,0.0634
3.40340e-008,0.0854
3.40680e-008,0.1268
3.41020e-008,0.1925
3.41360e-008,0.2622
3.41700e-008,0.3313
3.42040e-008,0.3956
3.42380e-008,0.4588
3.42720e-008,0.5427
3.43060e-008,0.6413
3.43400e-008,0.7562
3.43740e-008,0.8796
3.44080e-008,0.9975
3.44420e-008,1.0914
3.44760e-008,1.1637
3.45100e-008,1.2196
3.45440e-008,1.2510
3.45780e-008,1.2615
3.46120e-008,1.2542
3.46460e-008,1.2394
3.46800e-008,1.2284
3.47140e-008,1.2181
3.47480e-008,1.2108
3.47820e-008,1.2109
3.48160e-008,1.2149
3.48500e-008,1.2265
3.48840e-008,1.2491
3.49180e-008,1.2718
3.49520e-008,1.2909
3.49860e-008,1.3082
3.50200e-008,1.3181
3.50540e-008,1.3225
3.50880e-008,1.3015
3.51220e-008,1.1824
3.51560e-008,1.0087
3.51900e-008,0.8420
3.52240e-008,0.6771
3.52580e-008,0.5351
3.52920e-008,0.4004
3.53260e-008,0.2895
3.53600e-008,0.2220
3.53940e-008,0.2059
3.54280e-008,0.1950
3.54620e-008,0.1871
3.54960e-008,0.1797
3.55300e-008,0.1889
3.55640e-008,0.1939
3.55980e-008,0.1841
3.56320e-008,0.1662
3.56660e-008,0.1579
3.57000e-008,0.1444
3.57340e-008,0.1136
3.57680e-008,0.0803
3.58020e-008,0.0583
3.58360e-008,0.0537
3.58700e-008,0.0613
3.59040e-008,0.0813
3.59380e-008,0.1189
3.59720e-008,0.1820
3.60060e-008,0.2526
